participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
2,stimuli/tones/silence.wav,0.75,51,space,2.7284,W_3,stimuli/Baron6dB/070202.wav,stimuli/Laker/020001.wav,stimuli/Charlie/000002.wav,NA,0,silence,silence,W_3,1,0,0,0,1
2,stimuli/tones/FlatIEC-33dB.wav,2,52,space,3.2102,G_2,stimuli/Baron6dB/070301.wav,stimuli/Ringo/010100.wav,stimuli/Eagle/060001.wav,NA,1,-33dB,Flat,G_2,1,1,0,0,0
2,stimuli/tones/silence.wav,2,53,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Eagle/060301.wav,stimuli/Eagle/060003.wav,NA,1,silence,silence,R_1,1,0,0,1,0
2,stimuli/tones/PercTri-18dB.wav,0.75,54,space,0.6265,R_4,stimuli/Baron6dB/070103.wav,stimuli/Tiger/050200.wav,stimuli/Arrow/040002.wav,NA,1,-18dB,PercTri,R_4,1,1,0,0,0
2,stimuli/tones/FlatIEC-33dB.wav,0.75,55,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Eagle/060202.wav,stimuli/Laker/020101.wav,NA,0,-33dB,Flat,G_4,1,0,1,0,0
2,stimuli/tones/silence.wav,1.25,56,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Charlie/000201.wav,stimuli/Arrow/040203.wav,NA,1,silence,silence,W_2,1,0,0,1,0
2,stimuli/tones/silence.wav,2,57,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Arrow/040100.wav,stimuli/Ringo/010000.wav,NA,1,silence,silence,R_3,1,0,0,1,0
2,stimuli/tones/PercTri-27dB.wav,0.75,58,space,1.5111,W_1,stimuli/Baron6dB/070200.wav,stimuli/Hopper/030302.wav,stimuli/Laker/020100.wav,NA,1,-27dB,PercTri,W_1,1,1,0,0,0
2,stimuli/tones/PercTri-27dB.wav,1.25,59,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Hopper/030000.wav,stimuli/Hopper/030202.wav,NA,0,-27dB,PercTri,R_2,1,0,1,0,0
2,stimuli/tones/FlatIEC-24dB.wav,0.75,60,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Eagle/060203.wav,stimuli/Charlie/000303.wav,NA,0,-24dB,Flat,W_4,1,0,1,0,0
2,stimuli/tones/FlatIEC-30dB.wav,2,61,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Ringo/010103.wav,stimuli/Charlie/000301.wav,NA,0,-30dB,Flat,B_1,1,0,1,0,0
2,stimuli/tones/FlatIEC-27dB.wav,2,62,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Arrow/040103.wav,stimuli/Arrow/040100.wav,NA,0,-27dB,Flat,B_4,1,0,1,0,0
2,stimuli/tones/silence.wav,0.75,63,space,0.6442,G_3,stimuli/Baron6dB/070302.wav,stimuli/Hopper/030200.wav,stimuli/Arrow/040301.wav,NA,0,silence,silence,G_3,1,0,0,0,1
2,stimuli/tones/PercTri-18dB.wav,2,64,space,2.9184,W_1,stimuli/Baron6dB/070200.wav,stimuli/Arrow/040101.wav,stimuli/Laker/020203.wav,NA,1,-18dB,PercTri,W_1,1,1,0,0,0
2,stimuli/tones/FlatIEC-24dB.wav,0.75,65,noResp,NA,R_1,stimuli/Baron6dB/070300.wav,stimuli/Ringo/010302.wav,stimuli/Tiger/050102.wav,NA,0,-24dB,Flat,G_1,0,0,1,0,0
2,stimuli/tones/silence.wav,2,66,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Hopper/030002.wav,stimuli/Arrow/040003.wav,NA,1,silence,silence,B_4,1,0,0,1,0
2,stimuli/tones/silence.wav,1.25,67,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Tiger/050202.wav,stimuli/Hopper/030102.wav,NA,1,silence,silence,B_3,1,0,0,1,0
2,stimuli/tones/silence.wav,1.25,68,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Eagle/060100.wav,stimuli/Laker/020001.wav,NA,1,silence,silence,B_1,1,0,0,1,0
